         compiled                      go run     
day      real      user      sys       real      user      sys
day-01a  0m0.002s  0m0.001s  0m0.006s  0m0.118s  0m0.118s  0m0.144s
day-01b  0m0.002s  0m0.001s  0m0.001s  0m0.116s  0m0.117s  0m0.144s
day-02a  0m0.002s  0m0.001s  0m0.001s  0m0.120s  0m0.120s  0m0.157s
day-02b  0m0.002s  0m0.001s  0m0.001s  0m0.118s  0m0.119s  0m0.148s
day-03a  0m0.002s  0m0.001s  0m0.001s  0m0.121s  0m0.119s  0m0.153s
day-03b  0m0.002s  0m0.001s  0m0.001s  0m0.122s  0m0.120s  0m0.151s
day-04a  0m0.002s  0m0.001s  0m0.001s  0m0.118s  0m0.117s  0m0.143s
day-04b  0m0.002s  0m0.001s  0m0.001s  0m0.118s  0m0.119s  0m0.139s
day-05a  0m0.010s  0m0.008s  0m0.002s  0m0.132s  0m0.132s  0m0.151s
day-05b  0m0.012s  0m0.010s  0m0.003s  0m0.135s  0m0.136s  0m0.155s
day-06a  0m0.002s  0m0.001s  0m0.001s  0m0.119s  0m0.119s  0m0.141s
day-06b  0m0.002s  0m0.001s  0m0.001s  0m0.118s  0m0.116s  0m0.140s
day-07a  0m0.004s  0m0.003s  0m0.001s  0m0.120s  0m0.121s  0m0.146s
day-07b  0m0.052s  0m0.051s  0m0.003s  0m0.169s  0m0.167s  0m0.141s
day-08a  0m0.002s  0m0.001s  0m0.001s  0m0.121s  0m0.119s  0m0.151s
day-08b  0m0.003s  0m0.002s  0m0.001s  0m0.118s  0m0.116s  0m0.137s
day-09a  0m0.002s  0m0.001s  0m0.001s  0m0.119s  0m0.116s  0m0.144s
day-09b  0m0.003s  0m0.001s  0m0.001s  0m0.119s  0m0.116s  0m0.141s
day-10a  0m0.004s  0m0.003s  0m0.001s  0m0.130s  0m0.126s  0m0.153s
day-10b  0m0.004s  0m0.003s  0m0.001s  0m0.125s  0m0.125s  0m0.148s
day-11a  0m0.002s  0m0.001s  0m0.001s  0m0.118s  0m0.118s  0m0.148s
day-11b  0m0.002s  0m0.001s  0m0.001s  0m0.118s  0m0.117s  0m0.143s
day-12a  0m0.007s  0m0.009s  0m0.002s  0m0.123s  0m0.124s  0m0.142s
day-12b  0m0.294s  0m0.529s  0m0.020s  0m0.410s  0m0.640s  0m0.172s
day-13a  0m0.005s  0m0.003s  0m0.001s  0m0.122s  0m0.122s  0m0.151s
day-13b  0m0.006s  0m0.005s  0m0.001s  0m0.123s  0m0.124s  0m0.149s
day-14a  0m0.003s  0m0.002s  0m0.001s  0m0.120s  0m0.116s  0m0.148s
day-14b  0m0.003s  0m0.002s  0m0.001s  0m0.120s  0m0.117s  0m0.140s
day-15a  0m0.007s  0m0.005s  0m0.001s  0m0.125s  0m0.125s  0m0.147s
day-15b  0m0.168s  0m0.177s  0m0.007s  0m0.288s  0m0.298s  0m0.156s
day-16a  0m0.003s  0m0.001s  0m0.001s  0m0.119s  0m0.117s  0m0.145s
day-16b  0m0.003s  0m0.001s  0m0.001s  0m0.120s  0m0.119s  0m0.145s
day-17a  0m0.002s  0m0.001s  0m0.001s  0m0.120s  0m0.118s  0m0.145s
day-17b  0m0.002s  0m0.001s  0m0.001s  0m0.120s  0m0.121s  0m0.154s
day-18a  0m0.034s  0m0.034s  0m0.003s  0m0.157s  0m0.159s  0m0.163s
day-18b  0m0.431s  0m0.451s  0m0.023s  0m0.552s  0m0.574s  0m0.183s
day-19a  0m1.884s  0m1.905s  0m0.026s  0m2.015s  0m2.036s  0m0.172s
day-19b  0m1.888s  0m1.904s  0m0.027s  0m2.005s  0m2.029s  0m0.173s
day-20a  0m0.006s  0m0.003s  0m0.002s  0m0.122s  0m0.122s  0m0.153s
day-20b  0m0.123s  0m0.124s  0m0.004s  0m0.244s  0m0.248s  0m0.154s
day-21a  0m0.002s  0m0.001s  0m0.001s  0m0.119s  0m0.118s  0m0.137s
day-21b  0m8.664s  0m9.822s  0m0.662s  0m8.859s  0m9.766s  0m0.786s
day-22a  0m0.005s  0m0.004s  0m0.001s  0m0.124s  0m0.123s  0m0.158s
day-22b  0m0.587s  0m0.696s  0m0.031s  0m0.718s  0m0.826s  0m0.185s
day-23a  0m0.002s  0m0.001s  0m0.001s  0m0.119s  0m0.118s  0m0.141s
day-23b  3m2.464s  3m3.809s  0m1.457s  3m7.690s  3m8.987s  0m1.568s
day-24a  0m3.052s  0m3.091s  0m0.040s  0m3.195s  0m3.241s  0m0.193s
day-24b  0m3.048s  0m3.086s  0m0.042s  0m3.150s  0m3.198s  0m0.186s
day-25a  0m0.054s  0m0.053s  0m0.004s  0m0.174s  0m0.175s  0m0.156s
