Function Renaming Plan
-----------------------

# Generic Helpers
__highlight                                __gl_bold_white
__yellow                                   __gl_bold_yellow
__to_lowercase                             __gl_lowercase
__url_encode                               __gl_encode_for_url
__gl_join                                  __gl_join
__ensure_option                            __gl_require_option
__count_non_empty                          __gl_count_non_empty
__clamp                                    __gl_clamp
__ensure_number_or_default                 __gl_number_or_default
__gitlab_get_col                           __gl_column_value
__convert_display_options_to_auto_options  __gl_convert_display_options_to_auto_options

# Environment Data Management
__ensure_gitlab_token                      __gl_require_token
__ensure_gitlab_user_info                  __gl_ensure_user_info
__ensure_gl_config_dir                     __gl_ensure_config_dir
__ensure_gitlab_projects                   __gl_ensure_projects
__get_gl_config_dir                        __gl_config_dirname
__get_gmr_ignore_filename                  __gl_gmr_ignore_filename
__get_gitlab_max_age                       __gl_max_age_projects
__delete_projects_file                     __gl_projects_clear_cache
__force_refresh_projects                   __gl_projects_refresh_cache
__get_projects_filename                    __gl_projects_filename
__get_gitlab_temp_dir                      __gl_temp_dirname
__ensure_temp_dir                          __gl_ensure_temp_dir

# Data Manipulation
__filter_projects                          __gl_project_subset
__get_project                              __gl_project_by_name
__get_glopen_url                           __gl_url_web_repo                Move this down below.
__get_glopen_url_mrs                       __gl_url_web_repo_mrs            Move this down below.
__get_glopen_url_pipelines                 __gl_url_web_repo_pipelines      Move this down below.
__get_glopen_message                       __gl_glopen_create_message_entry
__get_project_name                         __gl_project_name                Move to be under __gl_project
__add_project_names_to_mrs_i_created       __gl_add_project_names_to_mrs_i_created
__filter_gitlab_mrs                        __gl_mrs_filter_by_approver
__filter_jobs_by_branch                    __gl_jobs_filter_by_branch
__filter_jobs_by_type                      __gl_jobs_filter_by_type

# Gitlab Interaction
__get_gitlab_user_info                     __gl_get_user_info
__get_gitlab_projects                      __gl_get_projects
__get_gitlab_mrs_i_created                 __gl_get_mrs_i_created
__get_my_gitlab_mrs                        __gl_get_mrs_to_approve_simple
__get_gitlab_mrs_deep                      __gl_get_mrs_to_approve_deep
__add_approved_status_to_mrs_i_created     __gl_add_approved_status_to_mrs_i_created
__add_discussion_info_to_mrs               __gl_add_discussion_info_to_mrs
__get_gitlab_todos                         __gl_get_todos
__get_jobs_for_project                     __gl_get_project_jobs
__get_pages_of_url                         __gl_get_all_results
__get_branches_of_repo                     __gl_get_repo_branches
__mark_gitlab_todo_as_done                 __gl_post_mark_todo_as_done
__mark_gitlab_todo_all_as_done             __gl_post_mark_all_todos_as_done

# Gitlab Url Creators.
__get_gitlab_base_url                      __gl_url_base
__get_gitlab_api_v4_url                    __gl_url_api_v4
__get_gitlab_url_user                      __gl_url_api_user
__get_gitlab_url_mrs                       __gl_url_api_mrs
__get_gitlab_url_projects                  __gl_url_api_projects
__get_gitlab_url_project_jobs              __gl_url_api_projects_jobs
__get_gitlab_url_project_jobs_log          __gl_url_api_projects_jobs_log
__get_gitlab_url_project_mrs               __gl_url_api_projects_mrs
__get_gitlab_url_project_mr_approvals      __gl_url_api_projects_mrs_approvals
__get_gitlab_url_project_mr_discussions    __gl_url_api_projects_mrs_discussions
__get_gitlab_url_todos                     __gl_url_api_todos
__get_gitlab_url_todo_mark_as_done         __gl_url_api_todos_mark_as_done
__get_gitlab_url_todo_mark_all_as_done     __gl_url_api_todos_mark_all_as_done
